product_name,category,store_price,competitor_1_price,competitor_2_price
VisionMax Ultra,TV,699.99,729.99,715.00
PixelView LED,TV,499.50,510.00,489.99
CineNova Edge,TV,899.00,929.00,910.50
BrightLine QLED,TV,1199.99,1235.00,1210.00
StreamWise Flow,TV,649.00,675.00,660.00
NeoFrame X,TV,749.50,770.00,755.00
SkyCast Elite,TV,999.00,1025.00,1009.00
TrueVision Arc,TV,849.00,870.00,860.00
OptiScreen Bold,TV,599.00,620.00,610.00
ClarityPanel Z,TV,799.99,829.00,810.00
NovaEdge S,Mobile,649.00,665.00,670.00
Orbit One,Mobile,799.99,825.00,810.00
FlashCore Mini,Mobile,399.00,420.00,410.00
PulseEdge Neo,Mobile,699.00,730.00,715.00
VibeZone A,Mobile,549.50,570.00,560.00
XenoSmart Touch,Mobile,599.00,620.00,605.00
CoreTalk Pro,Mobile,749.00,770.00,760.00
InstaCall M,Mobile,449.99,460.00,455.00
Zenith Air,Mobile,899.00,920.00,910.00
MetroWave Go,Mobile,499.00,525.00,510.00
SnapLite 12MP,Camera,299.00,319.00,305.50
ClearShot Pro,Camera,449.99,470.00,465.00
Optix Zoomer,Camera,349.00,360.00,355.00
PhotoNova Z,Camera,399.00,415.00,405.00
CamX Motion,Camera,499.00,520.00,510.00
PrimeLens Duo,Camera,599.00,625.00,610.00
LiteFrame Compact,Camera,279.99,295.00,289.00
ZoomCore Alpha,Camera,319.50,335.00,325.00
ShutterMax One,Camera,429.00,445.00,440.00
FocusTrack Mini,Camera,379.99,395.00,388.00
PulseSync Z,Smart Watch,199.00,210.00,205.00
TimeX Active,Smart Watch,149.50,155.00,151.00
WristTech Air,Smart Watch,179.00,190.00,185.00
ChronoBand Flex,Smart Watch,219.99,235.00,229.00
ActiveCore Sense,Smart Watch,249.00,265.00,255.00
HaloFit X,Smart Watch,199.99,215.00,205.00
MoveTrack Vital,Smart Watch,169.00,180.00,175.00
FitLogic Versa,Smart Watch,229.00,245.00,235.00
StrideWave Edge,Smart Watch,189.50,200.00,195.00
NeoSync Band,Smart Watch,209.99,225.00,215.00
StreamCast Beam,TV,559.99,580.00,565.00
EchoPixel Plus,TV,679.00,699.00,685.00
AirView Grand,TV,889.99,915.00,905.00
LuminaSense Lite,Mobile,519.00,540.00,530.00
SwiftDial Neo,Mobile,429.00,445.00,440.00
SkyCall Express,Mobile,379.00,395.00,390.00
ProShot Prism,Camera,489.00,505.00,495.00
EliteZoom Master,Camera,569.00,590.00,575.00
FlexWatch Aero,Smart Watch,239.00,250.00,245.00
TrailPulse Max,Smart Watch,189.00,200.00,195.00
SnapFrame ZR,Camera,339.99,350.00,345.00
UltraView Connect,TV,959.00,985.00,970.00
